date,births_per_thousand
1/1/60,58.122
1/1/61,58.195
1/1/62,58.228
1/1/63,58.215
1/1/64,58.153
1/1/65,58.039
1/1/66,57.873
1/1/67,57.666
1/1/68,57.433
1/1/69,57.189
1/1/70,56.951
1/1/71,56.735
1/1/72,56.553
1/1/73,56.411
1/1/74,56.316
1/1/75,56.275
1/1/76,56.291
1/1/77,56.35
1/1/78,56.437
1/1/79,56.537
1/1/80,56.626
1/1/81,56.681
1/1/82,56.688
1/1/83,56.641
1/1/84,56.539
1/1/85,56.391
1/1/86,56.214
1/1/87,56.032
1/1/88,55.86
1/1/89,55.705
1/1/90,55.565
1/1/91,55.433
1/1/92,55.296
1/1/93,55.142
1/1/94,54.967
1/1/95,54.768
1/1/96,54.546
1/1/97,54.306
1/1/98,54.051
1/1/99,53.781
1/1/00,53.496
1/1/01,53.193
1/1/02,52.871
1/1/03,52.533
1/1/04,52.182
1/1/05,51.821
1/1/06,51.456
1/1/07,51.091
1/1/08,50.73
1/1/09,50.377
1/1/10,50.034
1/1/11,49.701
1/1/12,49.377
1/1/13,49.058
1/1/14,48.745
1/1/15,48.438
1/1/16,48.136